"info.firstname","info.surname","info.managerid","info.gender","nationality","team_name","team_id","domestic_prestige","profitability","info.real_face","info.height","info.weight","info.contract.jointeamdate"
"Roberto","De Zerbi",157767,"Male","Italy","Tottenham Hotspur",18,7,8,"Yes",175,66,"2026-03-31"
"Gil","Moreira Lameiras",84667,"Male","Portugal","Vitória de Guimarães",1887,7,7,"No",179,75,"2026-03-10"
"Unai","Emery Etxegoien",237389,"Male","Spain","Aston Villa",2,7,9,"Yes",181,75,"2022-11-01"
"Liam","Rosenior",270334,"Male","England","Chelsea",5,8,10,"Yes",178,75,"2026-01-06"
"Michael","Carrick",265587,"Male","England","Manchester United",11,7,6,"Yes",188,75,"2026-01-13"
"Eddie","Howe",232297,"Male","England","Newcastle United",13,8,10,"Yes",178,75,"2021-11-08"
"Markus","Kauczinski",250028,"Male","Germany","TSV 1860 München",33,8,3,"No",170,75,"2021-11-08"
"Antonio","Conte",1067,"Male","Italy","Napoli",48,8,9,"Yes",178,73,"2024-07-01"
"Sébastien","Pocognoli",73757,"Male","Belgium","AS Monaco",69,8,5,"No",181,75,"2025-10-11"
"Stephen","Robinson",250536,"Male","Northern Ireland","Aberdeen",77,8,7,"No",173,75,"2026-03-12"
"Derek","McInnes",51495,"Male","Scotland","Heart of Midlothian",80,8,5,"No",170,65,"2025-05-19"
"David","Gray",268731,"Male","Scotland","Hibernian",81,7,6,"No",180,75,"2024-06-06"
"Giovanni","Stroppa",104061,"Male","Italy","Venezia",205,7,6,"No",180,80,"2025-07-01"
"Fabio","Ingolitsch",75543,"Male","Austria","Sturm Graz",209,9,6,"No",180,75,"2026-01-01"
"Joseph","Oosting",254511,"Male","Holland","Antwerp",230,9,8,"No",180,75,"2025-12-01"
"Vincent","Euvrard",256523,"Male","Belgium","Standard Liège",232,8,6,"No",184,75,"2024-07-01"
"Diego","Simeone",5571,"Male","Argentina","Atlético de Madrid",240,9,7,"Yes",177,77,"2011-12-23"
